cod_ibge7,cod_ibge6,cod_siafi,uf,nome_municipio,ano_mes,n_cat,n_obito,n_cid_mental,n_cid_lesao,n_cid_musculo,bf_beneficiarios,bf_entradas,bf_valor_total
2609006,260900,2479,PE,MACAPARANA                                   ,202510,0,0,0,0,0,3581,5,2386216.0
2207306,220730,1145,PI,PAES LANDIM                                  ,202510,0,0,0,0,0,966,5,642452.0
1302553,130255,9839,AM,MANAQUIRI                                    ,202510,0,0,0,0,0,3774,26,2732993.0
2923050,292305,3015,BA,NOVO TRIUNFO                                 ,202510,0,0,0,0,0,1871,3,1246388.0
3122801,312280,4455,MG,DOM VICOSO                                   ,202510,0,0,0,0,0,254,1,166080.0
3126000,312600,4519,MG,FLORESTAL                                    ,202510,0,0,0,0,0,365,2,240637.0
1504059,150405,0587,PA,MAE DO RIO                                   ,202510,0,0,0,0,0,6632,18,4569962.0
2405108,240510,1699,RN,JANDAIRA                                     ,202510,0,0,0,0,0,1209,4,829580.0
4321832,432183,5777,RS,TRES FORQUILHAS                              ,202510,0,0,0,0,0,241,1,161964.0
2924900,292490,3799,BA,PLANALTINO                                   ,202510,0,0,0,0,0,1333,1,872650.0
2302305,230230,1345,CE,BELA CRUZ                                    ,202510,0,0,0,0,0,5369,5,3626449.0
2111029,211102,0232,MA,SAO JOAO DO CARU                             ,202510,0,0,0,0,0,2563,12,1886982.0
2603108,260310,2361,PE,CACHOEIRINHA                                 ,202510,0,0,0,0,0,4557,7,3038270.0
5221080,522108,9759,GO,TERESINA DE GOIAS                            ,202510,0,0,0,0,0,863,2,590511.0
5221908,522190,9639,GO,VARJAO                                       ,202510,0,0,0,0,0,294,4,190726.0
3144508,314450,4889,MG,NAZARENO                                     ,202510,0,0,0,0,0,617,1,406688.0
1507706,150770,0553,PA,SAO SEBASTIAO DA BOA VISTA                   ,202510,0,0,0,0,0,5957,19,4415576.0
4112306,411230,7639,PR,JAPIRA                                       ,202510,0,0,0,0,0,206,1,128916.0
4112751,411275,7997,PR,JESUITAS                                     ,202510,0,0,0,0,0,575,1,367405.0
2409100,240910,1781,RN,PASSA E FICA                                 ,202510,0,0,0,0,0,2166,8,1407475.0
3204500,320450,5689,ES,SANTA LEOPOLDINA                             ,202510,0,0,0,0,0,1119,1,752778.0
2107258,210725,0200,MA,NOVA COLINAS                                 ,202510,0,0,0,0,0,838,2,588643.0
5007406,500740,9147,MS,RIO VERDE DE MATO GROSSO                     ,202510,0,0,0,0,0,1677,1,1166252.0
2601052,260105,0544,PE,ARACOIABA                                    ,202510,0,0,0,0,0,3904,6,2675632.0
2601300,260130,2325,PE,BARRA DE GUABIRABA                           ,202510,0,0,0,0,0,2115,4,1418895.0
2411502,241150,1829,RN,SANTO ANTONIO                                ,202510,0,0,0,0,0,4179,8,2790298.0
2413409,241340,1865,RN,SERRA NEGRA DO NORTE                         ,202510,0,0,0,0,0,926,3,598676.0
2414001,241400,1877,RN,TANGARA                                      ,202510,0,0,0,0,0,2722,1,1813588.0
2902658,290265,3261,BA,BANZAE                                       ,202510,0,0,0,0,0,1972,10,1340914.0
2917805,291780,3657,BA,JAGUARIPE                                    ,202510,0,0,0,0,0,4358,8,2829967.0
3127800,312780,4555,MG,GRAO MOGOL                                   ,202510,0,0,0,0,0,1556,4,1032866.0
3131158,313115,2665,MG,IPABA                                        ,202510,0,0,0,0,0,1009,2,663310.0
2611507,261150,2529,PE,QUIPAPA                                      ,202510,0,0,0,0,0,3860,5,2577760.0
2900504,290050,3309,BA,ERICO CARDOSO                                ,202510,0,0,0,0,0,1365,1,900282.0
2925709,292570,3815,BA,PRESIDENTE JANIO QUADROS                     ,202510,0,0,0,0,0,2436,5,1602349.0
2101103,210110,0721,MA,AXIXA                                        ,202510,0,0,0,0,0,3087,40,2082632.0
2112852,211285,0264,MA,VILA NOVA DOS MARTIRIOS                      ,202510,0,0,0,0,0,1518,8,1093665.0
