cod_ibge7,nome_municipio,uf,meses_dado,total_cat,total_obito,total_cid_mental,corr_n_cat_lag0,corr_n_cat_lag1,corr_n_cat_lag2,corr_n_cat_lag3,corr_n_cat_lag6,corr_n_obito_lag0,corr_n_obito_lag1,corr_n_obito_lag2,corr_n_obito_lag3,corr_n_obito_lag6,corr_n_cid_mental_lag0,corr_n_cid_mental_lag1,corr_n_cid_mental_lag2,corr_n_cid_mental_lag3,corr_n_cid_mental_lag6
4207106,ILHOTA,SC,24,107,0,0,-0.04292122537404561,-0.2466650435664581,0.35766926817013417,0.47610045672609425,0.48357860109132883,,,,,,,,,,
4207304,IMBITUBA,SC,24,295,1,1,-0.13953336242499353,0.04009581424198654,0.18875287111990813,0.26335119572559706,0.32212089925285603,0.3937576906550004,-0.1380498647283479,-0.13146966923801662,-0.13887301496588275,-0.14790713033090194,-0.1312525635516668,0.2366569109628821,-0.13146966923801662,-0.13887301496588275,0.44372139099270586
4207502,INDAIAL,SC,24,762,1,0,-0.3872346348128096,-0.4438674976391452,-0.10017720440827786,-0.12173094756436903,0.6209303130691285,-0.16816225395433357,-0.17745307757998113,0.40519020777606646,,,,,,,
4207650,IPORA DO OESTE,SC,24,39,0,0,0.3222648050943581,0.0006599224061337999,0.21151768007609276,-0.11597532683120239,-0.2605664684948565,,,,,,,,,,
4207684,IPUACU,SC,24,44,0,0,-0.27397286577096946,0.018215354756601635,0.2536521525943997,-0.07223430905871654,0.03899682266908973,,,,,,,,,,
4207700,IPUMIRIM,SC,24,81,0,0,0.11947395964611598,-0.008956403812351254,0.1108796316601333,-0.07119372691895526,-0.3004371984870121,,,,,,,,,,
4207809,IRANI,SC,24,52,0,0,0.17711076706792117,0.04134521146574951,0.10282678982452151,0.17913294909768898,0.0026815241416697417,,,,,,,,,,
4208005,ITA,SC,24,37,0,0,-0.26405155645927453,-0.26087885250702375,0.39658639770988313,-0.12599187772294113,-0.06971051589509769,,,,,,,,,,
4208104,ITAIOPOLIS,SC,24,81,1,1,0.3576983550528954,0.16364029190252538,0.0898162250423638,-0.11168167244194568,-0.2506445214557995,-0.1312525635516668,-0.1380498647283479,-0.13146966923801662,-0.13887301496588275,,-0.1312525635516668,-0.1380498647283479,0.24102772693636382,-0.13887301496588275,-0.10793353340882884
4208203,ITAJAI,SC,24,3800,18,8,-0.2643949913537682,-0.36325333857410974,0.16070719455086754,0.12947224613358832,0.23378328409027327,0.07553931665879568,0.0984502452975522,-0.2347551834440711,0.014213700144463215,0.1092488796294243,-0.32591755487910706,-0.0997931436182874,0.1536070097295217,0.1591843499931502,0.25154481387703015
4208302,ITAPEMA,SC,24,567,3,2,-0.2805115166373631,-0.2223495153419254,0.11562862004563715,0.13491595186438887,0.3165622432614164,0.03398792510220617,-0.250780033096736,0.26509780872319333,-0.22341689809980017,0.18263265100276752,-0.1312525635516668,-0.1380498647283479,0.4367510104014703,0.26396480703843594,-0.1670466199882679
4208401,ITAPIRANGA,SC,24,267,2,0,0.15564971589184468,-0.09160496078076658,-0.13464326407821342,-0.024668399838706008,0.08534163042998276,0.06997748771657282,-0.2964171247052767,0.2136702916058189,0.2900248189000142,0.0,,,,,
4208450,ITAPOA,SC,24,247,1,1,-0.3910098352758901,-0.22697988856515613,0.2661117323722342,0.0782801388444256,0.07963579533887398,0.08410392245731371,-0.17750655146324398,-0.17365294618974278,0.40922379553556737,0.28226787568468886,-0.16820784491462742,0.2307585169022172,-0.17365294618974278,0.08184475910711347,0.436232171512701
4208500,ITUPORANGA,SC,24,163,0,1,-0.03138320626767607,0.029004056510133488,0.1465004756029339,0.16402730604132096,0.3038581100089087,,,,,,-0.15593525987866802,-0.16437871873282672,-0.1596665001584833,0.3804812182576277,
4208708,JACINTO MACHADO,SC,24,56,0,0,-0.1615479856207392,0.09096839829377508,0.269302404478095,-0.027191204783433037,-0.12109736044941105,,,,,,,,,,
4208807,JAGUARUNA,SC,24,165,2,3,0.06122066361553817,-0.20219026492488798,0.1424452019046787,-0.0789221014093787,0.11046940284326605,0.3087517286929038,-0.012558836732540575,-0.01361744943803987,-0.2895843861190912,0.48509407856645803,0.08502416594341343,0.32291942449601485,0.27080348223095824,-0.04131745415934297,0.15818966880867139
4208906,JARAGUA DO SUL,SC,24,2558,7,1,-0.03575238741706549,-0.11264088238707241,0.18316147866132973,0.27954619410098286,0.18865001515601737,-0.07456686026083512,0.29717228970468196,-0.11865466700184994,-0.3466775443657144,0.01641281283090892,-0.11879247414119364,-0.12481171852545074,-0.11709949273674157,-0.12353796140044059,-0.12837345383073615
4209003,JOACABA,SC,24,372,5,3,-0.31677272468747586,-0.47665181385908517,-0.2161080163500375,-0.019220241628715273,0.5666627792146774,0.09865723536929825,-0.20861731638973613,-0.18601921439430782,-0.1965107181472809,-0.2364705238370121,-0.13401627110983003,-0.14064976601741078,-0.12511516736054804,-0.13182339722538647,-0.10793353340882884
4209102,JOINVILLE,SC,24,10641,22,29,-0.33135479401967666,-0.3922206461065884,0.08076086839035619,0.1538525613537679,0.13720626211474374,-0.09668142404275683,-0.2509963134188633,0.3522403773690005,0.2983324820249321,0.2654338993576442,-0.3397060765467918,-0.20803224515352603,0.10172844177625825,-0.2684176074757406,-0.12383907523268177
4209300,LAGES,SC,24,1069,10,3,0.11512227649762018,-0.08212015532640593,0.07299998785744787,0.045458132885627535,-0.11149135707644381,-0.25884392723636207,-0.03368122958047105,0.02001725004677323,0.32757436986239175,0.4679383110793329,-0.15318788335166178,-0.1609344164950321,-0.14797085841925586,-0.15609177071190494,0.7276068751089989
4209409,LAGUNA,SC,24,112,1,0,-0.3254292868065054,-0.3386084636990823,-0.040786137411138436,0.1241336711124898,0.150366750044112,-0.16834484060307353,0.10660035817780521,0.251189344155187,0.28691462144686875,-0.20579830217101067,,,,,
4209508,LAURENTINO,SC,24,61,1,0,0.036199029626151374,-0.11474561431632282,0.08024778978456933,-0.22021111839305244,0.22272877523020532,-0.14379057773836207,-0.15142581535601532,0.31248150613994535,,,,,,,
4209607,LAURO MULLER,SC,24,116,1,0,-0.07577884165913391,-0.14472363636317837,-0.09807353533317256,0.08096157455958675,0.04480231618669371,0.48703495558384285,-0.09726832530780989,-0.08643572325155013,-0.09096678634074566,-0.08560080883635282,,,,,
4209904,LONTRAS,SC,24,100,0,0,0.25726658687030624,0.29573460105250676,0.11292452208191699,-0.0957084276690256,0.19501861021409658,,,,,,,,,,
4210001,LUIZ ALVES,SC,24,147,0,0,-0.12117133130993574,-0.4063662039939087,-0.055893963784038006,0.0526028595015352,0.11210815100732702,,,,,,,,,,
4210035,LUZERNA,SC,24,47,1,0,-0.25456602083499735,-0.18211341929052302,-0.012939372728554206,0.14285714285714285,0.33696502384397825,-0.1314742366762554,0.2370983530756024,-0.14588514834059396,-0.15433549314543446,0.4746908148060868,,,,,
4210100,MAFRA,SC,24,516,3,2,0.11394723561217684,0.06490822832843195,0.03833063830507126,0.0787372647390185,-0.019188413355419463,0.010846682402141018,-0.022891862443729413,0.25257841014136084,0.26786324403914596,0.47341790589148297,-0.20766382210939702,0.08208302674107883,0.49749371855331,0.3521153786082036,-0.12837345383073615
4210407,MARACAJA,SC,24,26,0,0,-0.013818636470221387,0.007690318692611648,0.3196815003753626,0.5148008933025,0.05210027516553273,,,,,,,,,,
4210506,MARAVILHA,SC,24,401,1,1,-0.15150218886650654,-0.34786714536531516,-0.21797786516668094,0.0008706389543524897,0.38195048324326697,-0.11879247414119364,-0.12481171852545074,-0.11709949273674157,-0.12353796140044059,0.35302699803452436,-0.11879247414119364,-0.12481171852545074,0.3512984782102247,-0.12353796140044059,0.48140045186526054
4210605,MASSARANDUBA,SC,24,116,0,0,-0.3827711632902468,-0.4659828500814255,-0.08174745416846235,-0.0032768858965492665,0.42748927350745797,,,,,,,,,,
4210803,MELEIRO,SC,24,43,2,0,-0.01916129876975122,-0.04164573800111468,0.1634441368179991,-0.07255647966964388,-0.07878088816342718,0.11455879881910548,-0.18073900453932268,-0.1697822010904791,0.2690280280882739,0.6549720046293956,,,,,
4210902,MODELO,SC,24,32,0,0,-0.042919120369560436,-0.2349827015176555,0.3276498057627187,0.2669272751274618,0.18703000141999063,,,,,,,,,,
4211009,MONDAI,SC,24,61,1,0,0.35238339847717287,0.07470213610691125,0.15946472135557674,-0.0014398981187173075,-0.4394141917193881,-0.09281641882036987,-0.0973233880494449,-0.10228935226457879,0.5389401001366197,0.38549553972194134,,,,,
4211058,MONTE CARLO,SC,24,47,0,0,-0.12331899894346449,-0.009295320060505508,0.3623730540628613,0.4244666099160266,0.3134789294714212,,,,,,,,,,
4211207,MORRO DA FUMACA,SC,24,161,0,0,-0.5078715230224768,-0.33172440692623334,-0.14445167651024837,0.10677209606011968,0.30005996936759805,,,,,,,,,,
4211306,NAVEGANTES,SC,24,669,5,3,-0.31676113518954474,-0.4988107805029279,-0.1051828976469717,-0.047289069201500396,0.16021179399170743,0.12088331528860295,-0.2262404526381345,-0.23882651437293667,0.3947040205951425,-0.0009471735699719019,0.26318067798390754,-0.22673174627345843,0.3457959380218456,-0.20149814827784027,-0.24351020133702336
4211405,NOVA ERECHIM,SC,24,32,0,0,-0.16836892273339796,-0.21394709769384654,0.07422185038084644,0.14805763354654883,0.49059126096063715,,,,,,,,,,
4211504,NOVA TRENTO,SC,24,234,1,0,-0.060857961642565545,0.037898020149836016,0.03783834550378504,-0.12220853649458574,0.1264048540395945,-0.11883712457469715,-0.1248634111010882,-0.11709949273674157,0.3953214764814098,,,,,,
4211603,NOVA VENEZA,SC,24,351,1,0,-0.07329192596631356,0.19188785497246394,0.10403250198808184,0.06792255670331152,0.13424080961345194,-0.11888182539424856,-0.1249151679576533,-0.11722230293592323,-0.12368186122953842,-0.12849851324064712,,,,,
4211702,ORLEANS,SC,24,280,2,1,-0.24748018166221597,-0.2402504803097257,-0.26310633444620035,-0.07560966168021012,0.31796559480606795,-0.14361283900820412,-0.1512186664008184,-0.14564381625088382,-0.15405047814108908,,-0.14361283900820412,-0.1512186664008184,-0.14564381625088382,0.44014422326025443,
4211751,OTACILIO COSTA,SC,24,123,3,3,0.0940692647660288,0.016179430058664644,0.25348945089646313,0.11357416186512725,0.07684319186497056,0.5302536403529315,0.06824388630407675,-0.1903887960276917,-0.20134887321168685,-0.15706636192614137,0.05703473660878178,-0.1997684671810247,0.14279159702076877,0.18217279004866901,-0.10793353340882884
4211900,PALHOCA,SC,24,1726,9,9,-0.2821277209760885,-0.5288334398459598,-0.13564767241040818,-0.10748344640892091,0.3222205694459602,-0.1528429509562903,0.03309948579560145,0.1763370438976643,-0.07424359491976879,0.028094733527525482,-0.3206663754316019,-0.17080282346509182,0.12173600666871408,-0.02851209013028081,0.09081743495369067
